usnews_cs_rank,school,location,city,state,tie,source,source_file
1,Carnegie Mellon University,"Pittsburgh, PA",Pittsburgh,PA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
1,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
1,Stanford University,"Stanford, CA",Stanford,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
4,University of California--Berkeley,"Berkeley, CA",Berkeley,CA,False,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
5,University of Illinois--Urbana-Champaign,"Urbana, IL",Urbana,IL,False,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
6,Princeton University,NJ,,NJ,False,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
7,Cornell University,"Ithaca, NY",Ithaca,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
7,Georgia Institute of Technology,GA,,GA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
7,University of Washington,"Seattle, WA",Seattle,WA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
10,University of Texas--Austin,"Austin, TX",Austin,TX,False,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
11,University of Michigan--Ann Arbor,"Ann Arbor, MI",Ann Arbor,MI,False,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
12,California Institute of Technology,"Pasadena, CA",Pasadena,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
12,University of California--San Diego,"La Jolla, CA",La Jolla,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
12,University of Maryland--College Park,"College Park, MD",College Park,MD,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
15,Columbia University,NY,,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
15,Purdue University--West Lafayette,"West Lafayette, IN",West Lafayette,IN,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
15,University of California--Los Angeles,CA,,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
15,University of Wisconsin--Madison,"Madison, WI",Madison,WI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
19,Harvard University,MA,,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
19,University of Pennsylvania,"Philadelphia, PA",Philadelphia,PA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
21,Johns Hopkins University,"Baltimore, MD",Baltimore,MD,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
21,University of Chicago,IL,,IL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
21,University of Southern California,CA,,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
21,Yale University,"New Haven, CT",New Haven,CT,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
25,Duke University,NC,,NC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
25,University of Massachusetts--Amherst,"Amherst, MA",Amherst,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
27,Brown University,"Providence, RI",Providence,RI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
27,New York University,NY,,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
27,Northwestern University,IL,,IL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
27,Rice University,"Houston, TX",Houston,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
27,University of California--Irvine,"Irvine, CA",Irvine,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
27,University of California--Santa Barbara,"Santa Barbara, CA",Santa Barbara,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
27,University of North Carolina--Chapel Hill,"Chapel Hill, NC",Chapel Hill,NC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
34,Northeastern University,"Boston, MA",Boston,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
34,University of Colorado--Boulder,"Boulder, CO",Boulder,CO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
34,University of Virginia,VA,,VA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
34,Virginia Tech,"Blacksburg, VA",Blacksburg,VA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
38,Ohio State University,"Columbus, OH",Columbus,OH,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
